Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Kyle Stowers DH,Sep 17,3,0,0,0,1,1,4,0.216,0.286,0.314,0.599,19,13,-0.071,1.23,0.032,-0.10%,-0.03%,0.99,-0.8,,,,1
Cedric Mullins CF,Sep 18,3,1,0,0,2,0,5,0.263,0.326,0.406,0.731,24,12,-0.005,1.96,0.119,-0.12%,0.00%,1.09,-0.2,0,0,,1
Adley Rutschman DH,Sep 18,3,0,2,2,2,1,5,0.257,0.367,0.453,0.819,21,10,0.373,1.93,0.405,-0.03%,0.12%,1.07,2.2,1,0,2B,1
Anthony Santander RF,Sep 18,5,0,0,0,0,0,5,0.248,0.325,0.448,0.773,15,13,-0.243,1.3,0,-0.24%,-0.08%,0.72,-2.6,4,0,GDP,1
Gunnar Henderson 3B,Sep 18,3,0,0,0,2,3,5,0.328,0.388,0.557,0.945,24,14,-0.091,1.23,0.025,-0.12%,-0.03%,0.68,-0.6,0,4,IW,1
Jesus Aguilar 1B,Sep 18,5,1,2,2,0,0,5,0.233,0.28,0.381,0.661,13,9,0.062,1.29,0.169,-0.11%,0.02%,0.72,0.6,10,0,HR,1
Terrin Vavra 2B,Sep 18,3,1,1,0,1,0,4,0.276,0.353,0.345,0.698,15,8,0.013,1.08,0.074,-0.06%,0.00%,0.6,0.1,4,2,,1
Austin Hays LF,Sep 18,4,0,1,0,0,0,4,0.249,0.305,0.413,0.718,13,9,-0.04,1.28,0.048,-0.09%,-0.01%,0.71,-0.2,1,0,,1
Jorge Mateo SS,Sep 18,3,0,1,1,0,1,3,0.224,0.271,0.394,0.664,6,6,0.139,1.45,0.187,-0.05%,0.05%,0.8,1.2,1,4,2B,1
Robinson Chirinos C,Sep 18,3,0,0,0,0,1,3,0.178,0.266,0.278,0.544,10,8,-0.163,1.54,0,-0.16%,-0.05%,0.85,-1.2,5,0,,1
Austin Hays LF,Sep 19,2,0,0,0,1,0,3,0.248,0.306,0.411,0.717,12,6,-0.032,0.44,0.001,-0.03%,-0.01%,0.29,-0.3,1,0,,1
Adley Rutschman C,Sep 19,3,0,0,0,1,1,4,0.255,0.365,0.449,0.814,18,8,-0.024,0.24,0,-0.02%,-0.01%,0.16,-0.3,8,0,,1
Ryan Mountcastle DH,Sep 19,2,0,1,0,2,1,4,0.244,0.299,0.429,0.727,20,8,-0.004,0.15,0.006,-0.01%,0.00%,0.1,0.8,,,,1
Anthony Santander RF,Sep 19,3,0,1,0,0,1,3,0.249,0.325,0.447,0.772,9,5,-0.029,0.45,0.004,-0.03%,-0.01%,0.3,0.2,2,0,,1
Jesus Aguilar 1B,Sep 19,4,0,0,0,0,1,4,0.23,0.277,0.378,0.656,17,12,-0.029,0.29,0,-0.03%,-0.01%,0.2,-1.4,7,2,,1
Gunnar Henderson 3B,Sep 19,3,0,0,0,0,0,3,0.313,0.371,0.531,0.903,10,7,-0.02,0.27,0,-0.02%,-0.01%,0.18,-1.2,1,1,GDP,1
Ramon Urias 2B,Sep 19,3,0,0,0,0,0,3,0.243,0.297,0.402,0.699,9,6,-0.031,0.4,0,-0.03%,-0.01%,0.27,-0.6,1,2,,1
Cedric Mullins CF,Sep 19,3,0,0,0,0,0,3,0.262,0.324,0.404,0.728,14,8,-0.022,0.29,0,-0.02%,-0.01%,0.2,-0.5,3,0,,1
Jorge Mateo SS,Sep 19,3,0,0,0,0,0,3,0.222,0.269,0.391,0.66,4,4,-0.014,0.18,0,-0.01%,-0.01%,0.12,-0.4,1,4,,1
Gunnar Henderson 3B,Sep 20,5,1,2,2,0,0,5,0.319,0.373,0.565,0.939,16,11,0.085,1.34,0.212,-0.13%,0.02%,0.58,1.4,1,2,HR,1
Ryan Mountcastle 1B,Sep 20,5,0,1,0,0,2,5,0.244,0.298,0.427,0.724,17,12,-0.124,1.35,0.028,-0.15%,-0.03%,0.59,-0.8,8,0,,1
Anthony Santander RF,Sep 20,2,0,0,0,2,1,4,0.248,0.326,0.446,0.772,22,9,0.057,1.07,0.09,-0.03%,0.01%,0.47,0.3,2,1,,1
Adley Rutschman C,Sep 20,4,0,1,0,0,1,4,0.255,0.364,0.446,0.811,14,10,-0.129,1.66,0.032,-0.16%,-0.03%,0.72,-0.8,7,0,,1
Jesus Aguilar DH,Sep 20,3,0,1,0,1,1,4,0.231,0.279,0.378,0.657,15,8,0.066,1.57,0.118,-0.05%,0.02%,0.68,0.1,,,,1
Ramon Urias 2B,Sep 20,4,0,0,0,0,1,4,0.241,0.295,0.397,0.692,16,11,-0.31,2,0,-0.31%,-0.08%,0.86,-1.5,0,3,GDP,1
Austin Hays LF,Sep 20,2,1,1,0,2,0,4,0.249,0.309,0.412,0.72,18,8,0.111,1.14,0.137,-0.03%,0.03%,0.49,0.7,4,0,,1
Ryan McKenna CF,Sep 20,2,0,0,0,0,0,2,0.238,0.295,0.343,0.638,10,6,-0.066,1.43,0,-0.07%,-0.02%,0.61,-0.5,2,0,,1
Jorge Mateo SS,Sep 20,4,0,0,0,0,1,4,0.22,0.267,0.388,0.654,15,11,-0.133,1.73,0.015,-0.15%,-0.03%,0.75,-0.6,3,4,,1
Cedric Mullins CF,Sep 21,5,1,1,0,0,2,5,0.26,0.322,0.4,0.722,17,11,0.038,0.54,0.073,-0.04%,0.01%,0.18,-0.5,0,0,,1
Adley Rutschman DH,Sep 21,5,1,1,2,0,1,5,0.254,0.362,0.443,0.805,22,15,0.051,0.64,0.077,-0.03%,0.01%,0.22,1.1,,,,1
Gunnar Henderson SS,Sep 21,5,0,2,1,0,1,5,0.324,0.375,0.554,0.929,17,10,0.115,0.5,0.123,-0.01%,0.02%,0.17,0.7,2,7,,1
Ryan Mountcastle 1B,Sep 21,3,0,0,1,0,1,4,0.243,0.295,0.424,0.72,10,8,-0.012,0.58,0.016,-0.03%,0.00%,0.2,-0.4,10,3,SF,1
Terrin Vavra 2B,Sep 21,2,1,1,0,2,0,4,0.279,0.37,0.344,0.714,17,8,-0.001,0.41,0.022,-0.02%,0%,0.14,0.7,0,1,,1
Austin Hays LF,Sep 21,4,1,1,0,0,1,4,0.249,0.308,0.41,0.719,17,11,-0.045,0.5,0.003,-0.05%,-0.01%,0.17,-0.2,2,0,,1
Kyle Stowers RF,Sep 21,4,2,2,3,0,0,4,0.246,0.306,0.386,0.692,12,7,0.038,0.32,0.059,-0.02%,0.01%,0.11,2.1,4,0,HR,1
Ramon Urias 3B,Sep 21,1,1,0,0,3,0,4,0.24,0.299,0.396,0.695,25,11,0.052,0.35,0.053,0.00%,0.01%,0.12,0.3,0,2,,1
Robinson Chirinos C,Sep 21,4,0,1,1,0,2,4,0.179,0.266,0.277,0.543,15,9,-0.05,0.58,0.002,-0.05%,-0.01%,0.2,0.1,6,0,,1
Cedric Mullins CF,Sep 22,4,0,2,0,0,1,4,0.262,0.323,0.403,0.726,20,14,0.009,0.48,0.035,-0.03%,0.00%,0.29,-0.1,5,0,2B,1
Adley Rutschman C,Sep 22,4,0,0,0,0,1,4,0.251,0.359,0.438,0.797,22,17,-0.099,0.62,0,-0.10%,-0.04%,0.38,-1.2,10,1,GDP,1
Gunnar Henderson 3B,Sep 22,3,0,0,0,0,1,3,0.312,0.361,0.532,0.894,12,9,-0.027,0.35,0,-0.03%,-0.01%,0.22,-0.4,0,2,,1
Anthony Santander DH,Sep 22,3,0,0,0,0,0,3,0.246,0.324,0.443,0.768,13,10,-0.045,0.59,0,-0.05%,-0.02%,0.36,-0.6,,,,1
Ryan Mountcastle 1B,Sep 22,3,1,2,0,0,0,3,0.245,0.297,0.425,0.723,10,7,0.032,0.49,0.042,-0.01%,0.01%,0.31,0.3,11,0,,1
Terrin Vavra LF,Sep 22,3,1,1,0,0,0,3,0.281,0.368,0.344,0.712,13,12,0.012,0.77,0.037,-0.03%,0.00%,0.48,-0.1,0,0,,1
Kyle Stowers RF,Sep 22,3,0,1,0,0,1,3,0.25,0.308,0.383,0.691,15,11,-0.039,0.94,0.005,-0.05%,-0.01%,0.58,-0.4,1,0,,1
Rougned Odor 2B,Sep 22,3,0,1,2,0,0,3,0.197,0.265,0.348,0.613,9,6,0.15,1.01,0.174,-0.03%,0.06%,0.62,1.2,0,2,,1
Jorge Mateo SS,Sep 22,3,0,0,0,0,1,3,0.219,0.265,0.385,0.65,10,9,-0.032,0.4,0,-0.03%,-0.01%,0.25,-0.6,0,6,,1
Cedric Mullins CF,Sep 23,4,1,1,2,0,2,4,0.262,0.323,0.402,0.724,16,11,-0.036,0.81,0.027,-0.06%,-0.01%,0.51,0.5,1,0,,1
Adley Rutschman C,Sep 23,3,2,3,2,1,0,4,0.258,0.365,0.454,0.819,15,8,0.181,0.75,0.181,0.00%,0.07%,0.47,2.5,6,1,"HR,2B,SB",1
Ryan Mountcastle 1B,Sep 23,3,0,1,1,1,0,4,0.246,0.299,0.425,0.724,14,7,-0.039,0.88,0.009,-0.05%,-0.01%,0.55,0.5,10,0,,1
Anthony Santander RF,Sep 23,4,0,0,0,0,2,4,0.244,0.322,0.44,0.762,22,11,-0.103,0.91,0,-0.10%,-0.04%,0.56,-1.5,3,0,,1
Gunnar Henderson 3B,Sep 23,4,0,0,0,0,1,4,0.296,0.345,0.506,0.851,13,9,-0.098,0.97,0,-0.10%,-0.04%,0.6,-1.3,4,4,,1
Jesus Aguilar DH,Sep 23,3,0,1,0,0,1,3,0.232,0.28,0.377,0.657,15,10,-0.009,0.74,0.028,-0.04%,0.00%,0.46,0,,,,1
Austin Hays LF,Sep 23,4,1,1,0,0,0,4,0.249,0.308,0.409,0.717,12,10,0.047,0.55,0.073,-0.03%,0.02%,0.34,0.6,1,1,,1
Terrin Vavra 2B,Sep 23,4,1,1,1,0,0,4,0.279,0.363,0.338,0.701,13,7,-0.002,0.59,0.033,-0.04%,0.00%,0.37,0.2,0,3,,1
Jorge Mateo SS,Sep 23,2,0,1,0,0,1,3,0.22,0.266,0.385,0.651,17,12,0.098,0.87,0.123,-0.03%,0.04%,0.54,0.9,2,6,"2·SB,CS,SH",1
Cedric Mullins CF,Sep 24,5,1,1,2,0,1,5,0.261,0.322,0.405,0.727,25,17,-0.009,1.6,0.169,-0.18%,0.00%,1.36,0,3,0,HR,1
Ryan Mountcastle 1B,Sep 24,5,1,3,1,0,1,5,0.249,0.302,0.427,0.728,16,11,0.216,1.23,0.239,-0.02%,0.11%,1.04,1.4,5,0,,1
Anthony Santander RF,Sep 24,5,2,3,3,0,1,5,0.248,0.325,0.453,0.777,21,15,0.416,1.48,0.466,-0.05%,0.21%,1.25,2.4,4,0,2·HR,1
Adley Rutschman DH,Sep 24,5,1,2,0,0,1,5,0.26,0.365,0.453,0.818,19,11,0.012,1.2,0.094,-0.08%,0.01%,1.02,-0.3,2,0,,1
Ramon Urias 3B,Sep 24,4,1,2,0,0,2,4,0.243,0.301,0.398,0.698,20,11,0.012,1.58,0.104,-0.09%,0.01%,1.34,0.1,2,1,,1
Austin Hays LF,Sep 24,5,1,2,0,0,0,5,0.251,0.309,0.409,0.718,19,13,0.14,1.28,0.18,-0.04%,0.07%,1.08,1.4,2,0,,1
Rougned Odor 2B,Sep 24,5,2,3,3,0,0,5,0.202,0.269,0.359,0.628,11,7,0.298,1.68,0.346,-0.05%,0.15%,1.43,3,2,2,HR,1
Jorge Mateo SS,Sep 24,5,1,1,1,0,1,5,0.22,0.265,0.383,0.649,17,9,-0.114,1.81,0.051,-0.17%,-0.06%,1.53,-1.1,1,2,,1
Robinson Chirinos C,Sep 24,2,0,0,0,1,1,3,0.177,0.267,0.274,0.541,10,6,0.004,1.56,0.075,-0.07%,0.00%,1.32,-0.1,5,1,,1
Cedric Mullins CF,Sep 25,5,0,1,1,0,2,5,0.261,0.321,0.403,0.724,20,15,-0.19,2.05,0.043,-0.23%,-0.06%,1.01,-0.7,5,0,,1
Adley Rutschman C,Sep 25,5,0,0,0,0,1,5,0.256,0.361,0.447,0.808,19,11,-0.207,1.39,0,-0.21%,-0.06%,0.69,-1.5,9,2,GDP,1
Gunnar Henderson 3B,Sep 25,4,0,0,0,1,4,5,0.276,0.33,0.471,0.801,28,17,0.002,0.76,0.054,-0.05%,0.00%,0.38,-0.1,2,0,,1
Anthony Santander DH,Sep 25,4,0,0,0,0,1,4,0.246,0.322,0.449,0.772,12,10,-0.252,1.91,0,-0.25%,-0.07%,0.94,-1.2,,,GDP,1
Ryan Mountcastle 1B,Sep 25,4,1,2,0,0,2,4,0.251,0.303,0.429,0.732,22,14,-0.021,1.96,0.158,-0.18%,-0.01%,0.96,0.1,6,0,2B,1
Austin Hays LF,Sep 25,2,0,1,0,0,0,2,0.251,0.31,0.409,0.719,8,5,-0.031,4.21,0.053,-0.09%,-0.01%,2.08,-0.1,2,0,,1
Rougned Odor 2B,Sep 25,4,0,2,2,0,1,4,0.205,0.271,0.36,0.631,14,10,0.498,3.16,0.565,-0.07%,0.15%,1.56,1.2,4,3,,1
Kyle Stowers RF,Sep 25,4,0,1,0,0,2,4,0.242,0.296,0.364,0.659,13,9,-0.196,2.25,0.039,-0.23%,-0.06%,1.11,-0.8,4,0,,1
Jorge Mateo SS,Sep 25,4,1,1,0,0,1,4,0.22,0.265,0.382,0.647,19,15,-0.122,2.41,0.045,-0.17%,-0.04%,1.19,-0.4,0,3,,1
Cedric Mullins CF,Sep 26,6,2,2,3,0,0,6,0.262,0.321,0.411,0.732,22,17,0.149,0.6,0.198,-0.05%,0.04%,0.25,1.2,4,0,"HR,3B",1
Adley Rutschman C,Sep 26,5,1,1,0,1,1,6,0.255,0.361,0.444,0.804,25,15,-0.069,0.51,0.011,-0.08%,-0.02%,0.21,-1.4,4,1,,1
Anthony Santander DH,Sep 26,6,2,2,3,0,1,6,0.247,0.322,0.459,0.781,23,16,0.027,0.3,0.069,-0.04%,0.01%,0.12,1.8,,,"2·HR,GDP",1
Ryan Mountcastle 1B,Sep 26,2,2,0,0,3,1,5,0.25,0.306,0.427,0.733,27,10,0.054,0.35,0.058,0.00%,0.01%,0.14,0.7,5,0,,1
Gunnar Henderson 3B,Sep 26,2,2,1,2,3,1,5,0.281,0.354,0.506,0.859,27,11,0.136,0.65,0.138,0.00%,0.03%,0.27,2.6,3,1,HR,1
Austin Hays RF,Sep 26,5,2,2,1,0,1,5,0.253,0.31,0.415,0.725,17,13,0.019,0.86,0.079,-0.06%,0.01%,0.36,0.8,1,0,HR,1
Rougned Odor 2B,Sep 26,5,1,2,1,0,0,5,0.207,0.272,0.363,0.636,15,10,0.105,0.7,0.125,-0.02%,0.03%,0.29,1,3,4,2B,1
Kyle Stowers LF,Sep 26,5,1,3,2,0,0,5,0.268,0.316,0.408,0.724,16,11,0.181,0.6,0.182,0.00%,0.04%,0.25,2.6,3,0,3B,1
Jorge Mateo SS,Sep 26,4,1,1,1,1,2,5,0.221,0.267,0.383,0.65,20,12,0.035,0.59,0.085,-0.05%,0.01%,0.25,0.2,3,4,2B,1
Cedric Mullins CF,Sep 27,5,1,1,1,0,0,5,0.261,0.32,0.41,0.729,19,15,-0.014,0.98,0.069,-0.08%,-0.01%,0.58,-0.3,2,0,SB,1
Adley Rutschman C,Sep 27,5,1,1,1,0,2,5,0.255,0.359,0.448,0.807,20,14,0.035,0.74,0.113,-0.08%,0.01%,0.43,0,7,1,HR,1
Anthony Santander LF,Sep 27,5,3,3,3,0,0,5,0.25,0.325,0.473,0.798,13,9,0.329,0.56,0.341,-0.01%,0.12%,0.33,2.7,1,0,"2·HR,2B",1
Ryan Mountcastle 1B,Sep 27,5,0,2,1,0,2,5,0.251,0.306,0.431,0.737,22,13,0.082,0.59,0.12,-0.04%,0.03%,0.35,0.9,8,0,3B,1
Gunnar Henderson SS,Sep 27,4,0,0,0,1,1,5,0.269,0.346,0.484,0.83,26,15,-0.023,0.61,0.038,-0.06%,-0.01%,0.36,-0.3,1,4,,1
Ramon Urias 3B,Sep 27,3,1,3,1,0,0,3,0.248,0.305,0.414,0.72,17,11,0.143,0.54,0.143,0.00%,0.05%,0.32,2.2,0,2,"HR,3B",1
Rougned Odor 2B,Sep 27,3,1,2,1,1,0,5,0.211,0.278,0.366,0.644,16,7,0.079,0.72,0.121,-0.04%,0.03%,0.42,1.8,5,3,HBP,1
Austin Hays RF,Sep 27,5,1,1,1,0,1,5,0.252,0.309,0.417,0.726,18,11,-0.062,1.19,0.123,-0.18%,-0.02%,0.7,-1.2,0,0,"3B,GDP",1
Kyle Stowers DH,Sep 27,2,0,0,0,0,1,2,0.26,0.308,0.397,0.705,9,5,-0.077,1.17,0,-0.08%,-0.03%,0.69,-0.8,,,,1
Ryan McKenna CF,Sep 28,2,0,2,0,1,0,3,0.247,0.306,0.356,0.662,16,9,0.076,0.6,0.076,0.00%,0.02%,0.23,0.7,1,0,2B,1
Ryan Mountcastle DH,Sep 28,4,0,0,0,0,4,4,0.25,0.304,0.428,0.732,17,12,-0.123,1.17,0,-0.12%,-0.03%,0.44,-1.1,,,,1
Anthony Santander LF,Sep 28,4,0,0,0,0,2,4,0.248,0.323,0.469,0.792,18,11,-0.1,0.98,0,-0.10%,-0.02%,0.38,-0.9,0,0,,1
Jesus Aguilar 1B,Sep 28,4,0,1,0,0,1,4,0.233,0.28,0.377,0.657,14,10,0.014,0.97,0.076,-0.06%,0.00%,0.37,-0.2,10,1,,1
Austin Hays RF,Sep 28,4,0,1,0,0,1,4,0.252,0.309,0.416,0.724,15,12,-0.162,1.2,0.015,-0.18%,-0.04%,0.46,-1,2,0,GDP,1
Tyler Nevin 3B,Sep 28,2,0,1,0,0,0,2,0.2,0.298,0.265,0.563,10,7,0.014,0.8,0.031,-0.02%,0.00%,0.3,0.1,1,1,,1
Jorge Mateo SS,Sep 28,3,0,0,0,0,2,3,0.22,0.266,0.383,0.649,18,13,-0.083,1.02,0,-0.08%,-0.02%,0.39,-0.8,3,4,,1
Terrin Vavra 2B,Sep 28,3,0,1,0,0,0,3,0.274,0.353,0.329,0.682,8,6,-0.064,0.83,0,-0.06%,-0.01%,0.31,-0.6,2,2,,1
Robinson Chirinos C,Sep 28,3,1,1,1,0,1,3,0.18,0.268,0.291,0.559,9,6,0.027,0.8,0.066,-0.04%,0.01%,0.31,0.7,5,0,HR,1
Cedric Mullins CF,Sep 29,5,0,2,0,0,1,5,0.262,0.32,0.409,0.73,20,15,-0.003,1.01,0.045,-0.05%,0%,0.15,-0.2,1,0,,1
Adley Rutschman C,Sep 29,4,0,1,1,1,0,5,0.254,0.359,0.448,0.806,19,11,-0.017,1.12,0.061,-0.08%,0.00%,0.17,0,5,0,2B,1
Anthony Santander DH,Sep 29,4,0,0,0,0,0,4,0.246,0.321,0.466,0.787,15,10,-0.022,1.38,0.091,-0.11%,0.00%,0.21,0,,,,1
Ryan Mountcastle 1B,Sep 29,4,0,0,0,0,2,4,0.248,0.302,0.425,0.727,13,10,-0.12,1.13,0,-0.12%,-0.01%,0.17,-1,9,1,,1
Gunnar Henderson 3B,Sep 29,4,0,2,0,0,1,4,0.276,0.355,0.49,0.844,24,13,0.091,0.9,0.116,-0.03%,0.01%,0.14,1,0,1,2B,1
Austin Hays RF,Sep 29,4,0,1,0,0,1,4,0.252,0.309,0.414,0.723,20,13,-0.03,1.22,0.057,-0.09%,0.00%,0.18,-0.6,3,0,,1
Rougned Odor 2B,Sep 29,4,0,0,0,0,0,4,0.209,0.275,0.362,0.638,11,9,-0.245,1.95,0,-0.25%,-0.02%,0.29,-1.7,2,3,,1
Kyle Stowers LF,Sep 29,4,2,2,1,0,1,4,0.269,0.313,0.436,0.749,14,10,0.18,1.11,0.238,-0.06%,0.02%,0.17,0.9,2,0,HR,1
Jorge Mateo SS,Sep 29,3,1,1,0,0,2,3,0.221,0.266,0.383,0.649,13,9,0.002,1.32,0.061,-0.06%,0%,0.2,0.2,1,6,,1
Cedric Mullins CF,Sep 30,3,1,0,0,2,2,5,0.261,0.321,0.407,0.729,24,10,0.025,0.92,0.096,-0.07%,0.00%,0.04,0,2,0,2·SB,1
Adley Rutschman C,Sep 30,4,1,0,0,1,1,5,0.251,0.357,0.443,0.8,19,12,0.05,1.66,0.173,-0.12%,0.00%,0.08,-0.1,13,0,,1
Anthony Santander RF,Sep 30,3,0,0,0,1,2,4,0.245,0.32,0.464,0.784,19,11,-0.002,1.32,0.079,-0.08%,0%,0.07,-0.1,4,0,,1
Ryan Mountcastle 1B,Sep 30,4,0,1,1,0,1,4,0.248,0.302,0.423,0.725,16,10,0.059,1.32,0.091,-0.03%,0.00%,0.07,0.5,5,0,,1
Gunnar Henderson 3B,Sep 30,3,0,1,0,1,0,4,0.277,0.36,0.485,0.845,14,8,-0.011,1.15,0.027,-0.04%,0%,0.06,0,0,3,,1
Terrin Vavra 2B,Sep 30,2,0,0,0,0,1,2,0.263,0.341,0.316,0.657,7,4,-0.053,1.06,0,-0.05%,0.00%,0.05,-0.6,1,0,,1
Austin Hays LF,Sep 30,3,0,1,0,1,0,4,0.253,0.31,0.416,0.726,16,7,0.043,1.01,0.07,-0.03%,0.00%,0.05,0.5,2,0,2B,1
Kyle Stowers DH,Sep 30,3,0,0,0,1,3,4,0.259,0.31,0.42,0.73,19,12,-0.121,1.39,0.017,-0.14%,0.00%,0.07,-1.2,,,,1
Jorge Mateo SS,Sep 30,4,0,1,0,0,0,4,0.221,0.266,0.382,0.648,12,8,-0.05,0.9,0.023,-0.07%,0.00%,0.04,-0.3,0,1,,1
Gunnar Henderson 3B,Oct 1,4,0,0,0,0,4,4,0.267,0.347,0.467,0.814,19,14,-0.048,0.48,0,-0.05%,0.00%,0.01,-0.8,3,2,,1
Ryan Mountcastle 1B,Oct 1,3,0,1,0,1,2,4,0.248,0.303,0.423,0.726,17,10,-0.002,0.31,0.019,-0.02%,0%,0.01,0.3,4,1,,1
Adley Rutschman DH,Oct 1,4,0,1,0,0,2,4,0.251,0.356,0.444,0.799,16,10,-0.044,0.46,0.001,-0.05%,0%,0.01,0.3,,,2B,1
Austin Hays RF,Oct 1,4,0,0,0,0,1,4,0.251,0.308,0.413,0.72,11,9,-0.044,0.42,0,-0.04%,0%,0.01,-1.4,4,0,,1
Ryan McKenna LF,Oct 1,4,0,0,0,0,1,4,0.24,0.299,0.347,0.645,12,8,-0.034,0.34,0,-0.03%,0%,0.01,-1.1,1,0,,1
Cedric Mullins CF,Oct 1,3,0,0,0,0,3,3,0.26,0.32,0.405,0.725,14,9,-0.019,0.25,0,-0.02%,0%,0.01,-0.5,2,1,,1
Jorge Mateo SS,Oct 1,2,0,1,0,1,0,3,0.222,0.268,0.383,0.651,12,7,0.037,0.3,0.037,0.00%,0%,0,0.3,1,2,,1
Rougned Odor 2B,Oct 1,2,0,0,0,0,1,3,0.21,0.277,0.362,0.639,7,5,-0.04,0.56,0,-0.04%,0%,0.01,-0.5,4,1,HBP,1
Robinson Chirinos C,Oct 1,3,0,0,0,0,0,3,0.177,0.264,0.286,0.55,10,7,-0.051,0.49,0,-0.05%,0.00%,0.01,-1,5,2,GDP,1
Cedric Mullins CF,Oct 2,5,1,2,0,0,1,5,0.261,0.32,0.407,0.727,21,14,-0.036,1.02,0.073,-0.11%,0%,0,-0.4,1,0,2B,1
Adley Rutschman C,Oct 2,3,2,2,0,2,1,5,0.254,0.361,0.448,0.809,26,13,0.145,1.18,0.164,-0.02%,0%,0,1.1,11,0,2B,1
Anthony Santander RF,Oct 2,3,0,0,0,2,1,5,0.244,0.321,0.461,0.782,25,12,0.054,1.49,0.147,-0.09%,0%,0,0.2,1,0,,1
Ryan Mountcastle 1B,Oct 2,4,0,1,1,1,1,5,0.248,0.304,0.423,0.727,16,10,-0.016,1.51,0.148,-0.16%,0%,0,0.4,5,1,2B,1
Gunnar Henderson 3B,Oct 2,4,0,0,1,1,1,5,0.257,0.341,0.45,0.791,21,13,0.016,1.56,0.14,-0.12%,0%,0,-0.5,1,1,,1
Austin Hays LF-RF,Oct 2,4,0,1,1,0,1,5,0.251,0.307,0.413,0.72,10,8,-0.017,1.19,0.058,-0.08%,0%,0,-0.9,2,0,"2B,SF",1
Terrin Vavra 2B,Oct 2,2,0,0,0,2,0,4,0.256,0.348,0.308,0.656,18,6,0.007,1.05,0.046,-0.04%,0%,0,0,4,1,,1
Kyle Stowers DH,Oct 2,3,0,1,0,0,0,4,0.262,0.319,0.429,0.747,16,10,0.028,1.32,0.108,-0.08%,0%,0,0,,,"2B,HBP,GDP",1
Jorge Mateo SS,Oct 2,4,0,0,0,0,0,4,0.221,0.266,0.379,0.646,15,9,-0.135,1.57,0,-0.14%,0%,0,-1.2,0,1,,1
Cedric Mullins CF,Oct 3,2,0,0,0,1,0,3,0.26,0.32,0.406,0.726,17,9,-0.012,0.93,0.026,-0.04%,0%,0,-0.2,4,0,,1
Adley Rutschman C,Oct 3,1,0,1,0,2,0,3,0.256,0.365,0.449,0.814,14,6,0.107,1.05,0.107,0.00%,0%,0,1,7,2,,1
Anthony Santander DH,Oct 3,2,0,0,1,0,1,3,0.243,0.319,0.46,0.779,14,9,-0.069,1.7,0,-0.07%,0%,0,-0.6,,,SF,1
Ryan Mountcastle 1B,Oct 3,3,0,0,0,0,1,3,0.247,0.302,0.421,0.724,9,7,-0.105,1.3,0,-0.11%,0%,0,-0.9,2,1,,1
Gunnar Henderson 3B,Oct 3,3,0,0,0,0,2,3,0.25,0.333,0.438,0.771,10,8,-0.07,0.93,0,-0.07%,0%,0,-0.6,0,0,,1
Terrin Vavra LF,Oct 3,3,0,1,0,0,0,3,0.259,0.347,0.309,0.656,7,6,0.006,0.61,0.032,-0.03%,0%,0,0,1,0,,1
Rougned Odor 2B,Oct 3,3,0,0,0,0,0,3,0.208,0.276,0.359,0.635,10,6,-0.073,0.99,0,-0.07%,0%,0,-0.6,2,2,,1
Kyle Stowers RF,Oct 3,3,0,0,0,0,1,3,0.253,0.309,0.414,0.722,18,13,-0.068,0.86,0,-0.07%,0%,0,-0.6,2,0,,1
Jorge Mateo SS,Oct 3,3,1,1,0,0,0,3,0.221,0.267,0.379,0.646,6,5,0.006,0.8,0.04,-0.03%,0%,0,0.1,4,0,SB,1
Cedric Mullins CF,Oct 5,4,0,0,0,0,0,4,0.258,0.318,0.403,0.721,13,10,-0.142,1.09,0,-0.14%,0%,0,-1.1,2,0,,1
Adley Rutschman C,Oct 5,4,0,0,0,0,1,4,0.254,0.362,0.445,0.806,24,15,-0.1,0.95,0,-0.10%,0%,0,-0.8,11,1,,1
Ryan Mountcastle 1B,Oct 5,4,0,3,0,0,0,4,0.25,0.305,0.423,0.729,9,6,0.04,0.93,0.082,-0.04%,0%,0,0.5,7,0,,1
Anthony Santander DH,Oct 5,3,2,0,0,1,1,4,0.242,0.319,0.457,0.776,15,9,-0.038,1.21,0.052,-0.09%,0%,0,-0.6,,,,1
Gunnar Henderson 3B,Oct 5,3,2,2,0,1,1,4,0.261,0.346,0.443,0.79,19,9,0.123,1.36,0.148,-0.03%,0%,0,0.8,0,1,,1
Austin Hays RF,Oct 5,4,0,1,2,0,1,4,0.251,0.306,0.414,0.72,9,6,-0.038,2.19,0.132,-0.17%,0%,0,0.7,1,0,2B,1
Terrin Vavra 2B,Oct 5,4,1,2,3,0,0,4,0.271,0.354,0.353,0.706,8,7,0.607,1.89,0.71,-0.10%,0%,0,2.1,1,1,HR,1
Ryan McKenna LF,Oct 5,4,0,1,0,0,1,4,0.24,0.298,0.344,0.642,12,7,-0.104,0.91,0.007,-0.11%,0%,0,-0.8,1,0,CS,1
Jorge Mateo SS,Oct 5,3,0,1,0,0,1,3,0.222,0.267,0.381,0.648,13,6,0.047,1.03,0.098,-0.05%,0%,0,0.3,4,5,2B,1
