Batting,,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,cWPA,acLI,RE24,PO,A,Details,Game_num
Jorge Mateo SS,Aug 7,3,1,2,1,0,0,3,0.22,0.27,0.396,0.666,9,6,0.095,0.9,0.154,-0.06%,0.05%,0.86,0.6,2,2,"HR,CS",1
Brett Phillips LF,Aug 7,3,0,0,0,0,1,3,0.149,0.223,0.256,0.48,16,9,-0.034,0.45,0,-0.03%,-0.02%,0.43,-0.5,1,0,,1
Robinson Chirinos C,Aug 7,2,0,1,0,1,0,3,0.172,0.263,0.285,0.548,16,9,0.033,0.54,0.047,-0.01%,0.02%,0.52,0.3,10,0,,1
Ryan McKenna RF,Aug 8,4,0,1,0,0,0,4,0.257,0.311,0.376,0.687,9,5,-0.005,0.43,0.024,-0.03%,0.00%,0.47,-0.2,1,0,,1
Adley Rutschman C,Aug 8,2,2,0,0,2,0,4,0.254,0.365,0.437,0.802,18,10,-0.021,0.49,0.033,-0.05%,-0.01%,0.53,-0.3,5,0,GDP,1
Anthony Santander DH,Aug 8,3,1,2,1,1,1,4,0.259,0.338,0.462,0.8,17,10,0.139,0.48,0.142,0.00%,0.09%,0.52,2.2,,,HR,1
Ryan Mountcastle 1B,Aug 8,3,2,2,2,1,0,4,0.255,0.299,0.435,0.734,17,8,0.044,0.68,0.081,-0.04%,0.03%,0.73,1.6,8,0,HR,1
Ramon Urias 2B,Aug 8,4,1,1,3,0,0,4,0.245,0.293,0.429,0.721,9,8,0.206,0.69,0.244,-0.04%,0.13%,0.74,0.6,0,1,"HR,2·GDP",1
Austin Hays LF,Aug 8,4,1,2,1,0,1,4,0.261,0.318,0.438,0.756,17,11,0.043,0.23,0.054,-0.01%,0.03%,0.26,0.9,2,0,HR,1
Jorge Mateo SS,Aug 8,3,0,1,0,0,1,3,0.221,0.27,0.396,0.666,12,9,-0.015,0.38,0.018,-0.03%,-0.01%,0.41,-0.5,4,3,CS,1
Cedric Mullins CF,Aug 8,3,0,0,0,0,1,3,0.258,0.318,0.386,0.704,6,5,-0.027,0.39,0,-0.03%,-0.02%,0.42,-0.9,5,0,,1
Tyler Nevin 3B,Aug 8,2,0,0,0,0,1,2,0.204,0.306,0.272,0.578,6,5,-0.013,0.23,0,-0.01%,-0.01%,0.25,-0.3,1,1,,1
Cedric Mullins CF,Aug 9,4,1,2,0,1,2,5,0.261,0.321,0.39,0.71,17,10,0.005,0.79,0.063,-0.06%,0.00%,0.86,0.3,3,0,2B,1
Adley Rutschman C,Aug 9,4,2,1,0,1,1,5,0.253,0.366,0.433,0.799,29,18,0.029,1.03,0.099,-0.07%,0.02%,1.12,-0.1,8,0,,1
Anthony Santander RF,Aug 9,3,1,2,0,0,0,4,0.262,0.342,0.463,0.805,10,7,0.067,1.26,0.115,-0.05%,0.04%,1.37,1.2,2,0,HBP,1
Ryan Mountcastle 1B,Aug 9,4,0,2,1,0,0,4,0.258,0.3,0.441,0.742,7,6,0.142,1.34,0.231,-0.09%,0.09%,1.45,0.7,8,0,"2·2B,GDP",1
Terrin Vavra DH,Aug 9,3,0,1,2,0,0,4,0.348,0.448,0.391,0.84,13,9,0.002,1.48,0.094,-0.09%,0.00%,1.6,0.2,,,SF,1
Austin Hays LF,Aug 9,4,1,1,0,0,2,4,0.261,0.318,0.435,0.753,17,13,0.04,1.14,0.098,-0.06%,0.03%,1.24,-0.4,0,0,,1
Rougned Odor 2B,Aug 9,4,1,2,2,0,0,4,0.196,0.259,0.376,0.635,11,7,0.444,1.67,0.498,-0.05%,0.29%,1.81,1.5,4,3,HR,1
Ramon Urias 3B,Aug 9,4,0,1,0,0,1,4,0.245,0.292,0.426,0.718,8,7,-0.037,0.74,0.022,-0.06%,-0.02%,0.8,-0.5,1,2,,1
Jorge Mateo SS,Aug 9,4,0,0,0,0,2,4,0.218,0.267,0.391,0.658,18,14,-0.067,0.7,0,-0.07%,-0.04%,0.76,-0.8,1,2,,1
